Drug,Brand name,Species,Use,Notes,Source URL
Advanced GI - Oral Paste (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Keep out of reach of children.,https://www.drugs.com/vet/advanced-gi-oral-paste-can.html
Advanced GI - Powder (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Keep out of reach of children.,https://www.drugs.com/vet/advanced-gi-powder-can.html
Advantage Carpet & Upholstery Spot Spray,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-carpet-upholstery-spot-spray.html
Advantage Household Fogger,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-household-fogger.html
Advantage Household Spot & Crevice Spray,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-household-spot-crevice-spray.html
Advantage II Extra Large Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","DO NOT USE ON CATS. Keep cats away from treated dogs for 24 hours. If applied to a cat or ingested by a cat, contact your veterinarian.",https://www.drugs.com/vet/advantage-ii-extra-large-dog.html
Advantage II extra large dog (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-ii-extra-large-dog-can.html
Advantage II Large Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","DO NOT USE ON CATS. Keep cats away from treated dogs for 24 hours. If applied to a cat or ingested by a cat, contact your veterinarian.",https://www.drugs.com/vet/advantage-ii-large-dog.html
Advantage II large dog (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-ii-large-dog-can.html
Advantage II Medium Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","DO NOT USE ON CATS. Keep cats away from treated dogs for 24 hours. If applied to a cat or ingested by a cat, contact your veterinarian.",https://www.drugs.com/vet/advantage-ii-medium-dog.html
Advantage II medium dog (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-ii-medium-dog-can.html
Advantage II Small Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","DO NOT USE ON CATS. Keep cats away from treated dogs for 24 hours. If applied to a cat or ingested by a cat, contact your veterinarian.",https://www.drugs.com/vet/advantage-ii-small-dog.html
Advantage II small dog (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-ii-small-dog-can.html
Advantage Multi (imidacloprid + moxidectin) Topical Solution for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Heartworm-Negative Dogs,https://www.drugs.com/vet/advantage-multi-imidacloprid-moxidectin-topical-solution-for-dogs.html
advantage multi 10 (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Use of the product may result in transient pruritus in dogs. Rarely, greasy fur, erythema and vomiting can occur. These signs disappear without further treatment. The product may, in rare cases, cause local hypersensitivity reactions. If the animal licks the application site after treatment, transient, self-limiting neurological signs such as ataxía, generalized tremors, ocular signs (dilated pupils, little pupillary reflex, nystagmus), abnormal respiration, salivation and vomiting may occur infrequently.",https://www.drugs.com/vet/advantage-multi-10-can.html
advantage multi 100 (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Use of the product may result in transient pruritus in dogs. Rarely, greasy fur, erythema and vomiting can occur. These signs disappear without further treatment. The product may, in rare cases, cause local hypersensitivity reactions. If the animal licks the application site after treatment, transient, self-limiting neurological signs such as ataxía, generalized tremors, ocular signs (dilated pupils, little pupillary reflex, nystagmus), abnormal respiration, salivation and vomiting may occur infrequently.",https://www.drugs.com/vet/advantage-multi-100-can.html
advantage multi 20 (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Use of the product may result in transient pruritus in dogs. Rarely, greasy fur, erythema and vomiting can occur. These signs disappear without further treatment. The product may, in rare cases, cause local hypersensitivity reactions. If the animal licks the application site after treatment, transient, self-limiting neurological signs such as ataxía, generalized tremors, ocular signs (dilated pupils, little pupillary reflex, nystagmus), abnormal respiration, salivation and vomiting may occur infrequently.",https://www.drugs.com/vet/advantage-multi-20-can.html
advantage multi 55 (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Use of the product may result in transient pruritus in dogs. Rarely, greasy fur, erythema and vomiting can occur. These signs disappear without further treatment. The product may, in rare cases, cause local hypersensitivity reactions. If the animal licks the application site after treatment, transient, self-limiting neurological signs such as ataxía, generalized tremors, ocular signs (dilated pupils, little pupillary reflex, nystagmus), abnormal respiration, salivation and vomiting may occur infrequently.",https://www.drugs.com/vet/advantage-multi-55-can.html
Advantage Treatment Shampoo for Dogs & Puppies,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-treatment-shampoo-for-dogs-puppies.html
Advantage Treatment Spray for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-treatment-spray-for-dogs.html
Advantage Yard & Premise Spray,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advantage-yard-premise-spray.html
advantus (imidacloprid) soft chew,,"Dog, Cat","used together with other products, including heartworm preventatives, corticosteroids, antibiotics, vaccines, deworming medications and shampoos. ● advantus does not protect against ticks or mosquitoe",Directions: You should weigh your dog before giving this medication to make sure you are using the right size for your dog. Do not give to puppies younger than 10 weeks of age or to dogs weighing less than 4 pounds. Do not give more than one tablet a day.,https://www.drugs.com/vet/advantus-imidacloprid-soft-chew.html
Advecta 3 Large Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Monitor your dog after application. Side effects may include signs of skin irritation such as redness, scratching, or other signs of discomfort. Gastrointestinal signs such as vomiting or diarrhea have also been reported. If these or other side effects (such as lethargy or agitation) occur, consult your veterinarian or call 1-855-844-4375.",https://www.drugs.com/vet/advecta-3-large-dog.html
Advecta 3 Medium Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Monitor your dog after application. Side effects may include signs of skin irritation such as redness, scratching, or other signs of discomfort. Gastrointestinal signs such as vomiting or diarrhea have also been reported. If these or other side effects (such as lethargy or agitation) occur, consult your veterinarian or call 1-855-844-4375.",https://www.drugs.com/vet/advecta-3-medium-dog.html
Advecta 3 Small Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Monitor your dog after application. Side effects may include signs of skin irritation such as redness, scratching, or other signs of discomfort. Gastrointestinal signs such as vomiting or diarrhea have also been reported. If these or other side effects (such as lethargy or agitation) occur, consult your veterinarian or call 1-855-844-4375.",https://www.drugs.com/vet/advecta-3-small-dog.html
Advecta 3 X-Large Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Monitor your dog after application. Side effects may include signs of skin irritation such as redness, scratching, or other signs of discomfort. Gastrointestinal signs such as vomiting or diarrhea have also been reported. If these or other side effects (such as lethargy or agitation) occur, consult your veterinarian or call 1-855-844-4375.",https://www.drugs.com/vet/advecta-3-x-large-dog.html
Advecta Flea & Tick Dog Shampoo,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advecta-flea-tick-dog-shampoo.html
Advecta Flea & Tick Spray for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advecta-flea-tick-spray-for-dogs.html
Advecta II Large Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS.,https://www.drugs.com/vet/advecta-ii-large-dog.html
Advecta II Medium Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS.,https://www.drugs.com/vet/advecta-ii-medium-dog.html
Advecta II Small Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS.,https://www.drugs.com/vet/advecta-ii-small-dog.html
Advecta II X-Large Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS.,https://www.drugs.com/vet/advecta-ii-x-large-dog.html
Advecta Indoor Spray,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",1. Shake product well.,https://www.drugs.com/vet/advecta-indoor-spray.html
Advecta Yard Spray Concentrate,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advecta-yard-spray-concentrate.html
Adventure Plus for Dogs (11-20 lbs),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","STORAGE AND DISPOSAL: Do not contaminate water, food or feed by storage or disposal. Pesticide storage: Store in a cool, dry place inaccessible to children and pets. Pesticide Disposal and Container Handling: Nonrefillable container. If empty: Do not reuse or refill this container. Place in trash or offer for recycling if available. If partly filled: Call your local solid waste agency or 1-800-422-9874 for disposal instructions. Never place unused product down any indoor or outdoor drain.",https://www.drugs.com/vet/adventure-plus-for-dogs-11-20-lbs.html
Adventure Plus for Dogs (21-55 lbs),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","STORAGE AND DISPOSAL: Do not contaminate water, food or feed by storage or disposal. Pesticide storage: Store in a cool, dry place inaccessible to children and pets. Pesticide Disposal and Container Handling: Nonrefillable container. If empty: Do not reuse or refill this container. Place in trash or offer for recycling if available. If partly filled: Call your local solid waste agency or 1-800-422-9874 for disposal instructions. Never place unused product down any indoor or outdoor drain.",https://www.drugs.com/vet/adventure-plus-for-dogs-21-55-lbs.html
